"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\profile\myOttlesSlice.js", "JavaScript", 0, 0, 0, 34, 0, 0, 5, 39
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\screen\screenSlice.js", "JavaScript", 0, 0, 0, 21, 0, 0, 4, 25
"e:\WorkSpace\WorkSpace_Web\ottle\src\features\user\userSlice.js", "JavaScript", 0, 0, 0, 52, 0, 0, 6, 58
"e:\WorkSpace\WorkSpace_Web\ottle\src\index.js", "JavaScript", 0, 0, 0, 26, 0, 3, 4, 33
"e:\WorkSpace\WorkSpace_Web\ottle\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"e:\WorkSpace\WorkSpace_Web\ottle\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 2, 14
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\DesktopNotReady\index.js", "JavaScript", 0, 0, 0, 45, 0, 0, 6, 51
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Groups\GroupItem.js", "JavaScript", 0, 0, 0, 61, 0, 11, 5, 77
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Groups\MyGroups.js", "JavaScript", 0, 0, 0, 39, 0, 2, 3, 44
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Groups\TrendGroups.js", "JavaScript", 0, 0, 0, 18, 0, 2, 3, 23
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Groups\index.js", "JavaScript", 0, 0, 0, 23, 0, 2, 3, 28
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\HomeLayout\Footer.js", "JavaScript", 0, 0, 0, 39, 0, 2, 6, 47
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\HomeLayout\Header.js", "JavaScript", 0, 0, 0, 21, 0, 0, 3, 24
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\HomeLayout\index.js", "JavaScript", 0, 0, 0, 33, 0, 0, 5, 38
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Likes\index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 2, 7
"e:\WorkSpace\WorkSpace_Web\ottle\src\routes\Main\MainThread.js", "JavaScript", 0, 0, 0, 35, 0, 2, 3, 40
